CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
441	Vasilij Shalugin	1	3	Falling	-л-оо-л	FALSE	NA	1.4	1.4	COP
442	Vasilij Shalugin	0.75	5	Falling	-л-оо-л	FALSE	NA	0.7	2	COP
443	Vasilij Shalugin	1	1	Continuing	-т	TRUE	PARTIAL	0.4	1.6	PH
444	Vasilij Shalugin	1	1	Continuing	-т	TRUE	FULL	1.4	0	PH
445	Vasilij Shalugin	1	1	Continuing	-лэ	TRUE	FULL	0.3	1	PH
446	Vasilij Shalugin	1	2	Continuing	-ӈидэ	FALSE	NA	0.3	0.5	COP
447	Vasilij Shalugin	1	2	Continuing	-ну-л-ӈи	FALSE	NA	0	0	COP
448	Vasilij Shalugin	1	2	Continuing	-ӈин	TRUE	FULL	0.3	0	PH
449	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	0.2	0.2	PH
450	Vasilij Shalugin	1	4	Falling	-ӈи	FALSE	NA	1.2	2.4	COP
451	Vasilij Shalugin	1	3	Falling	-л	FALSE	NA	2.6	0.6	COP
452	Vasilij Shalugin	1	4	Continuing	-л	FALSE	NA	0	0	COP
453	Vasilij Shalugin	1	2	Continuing	-пул-гэлэ	TRUE	PARTIAL	0.4	0.7	PH
